legalName,website,city,state,zipCode,apartmentOrSuite,streetNumber,streetOrRoad,country,linkedInPage,aum,fundOrSyndication,assetClass,irr,coc,equityMultiple,fees,holdPeriod,exemption
COARE Communities,coarecommunities.com,,,,,,,Canada,linkedin.com/company/coare-communities-llc,,,Manufactured Housing,,,,,,
Wavemark Capital,wavemarkcapital.com,,,,,,,,,,Fund,Manufactured Housing,,,,,,
Cook Properties,cookpropertiesny.com,Rochester,New York,14624,,90,Air Park Drive,United States,linkedin.com/company/cookpropertiesny,,Syndication,Manufactured Homes,,,,,,
Real Estate Contacts,realestatecontacts.com,,,,,,,,,,Syndication,Marketing,,,,,,
Block Funds,blockfunds.com,,,,,,,,linkedin.com/company/block-funds,,Fund or Syndication,"Medical Office, Construction",,,,,,
MSquared,buildmsquared.com,New York,New York,10038,,40,Fulton Street,United States,linkedin.com/company/buildmsquared,,Syndication,Mixed Use,,,,,,
Premium Property Trust,burkecox.com,,,,,,,,,,Syndication,Mixed Use,,,,,,
Foulger-Pratt,foulgerpratt.com,Potomac,Maryland,20854,,12435,Park Potomac Avenue,United States,linkedin.com/company/foulgerpratt,,Syndication,"Mixed Use, Commercial, Multifamily",,,,,,
Innovo Development Group,innovodev.com,,,,,,,,linkedin.com/company/innovodev,,Syndication,"Mixed Use, Industrial, Residential",,,,,,
The Latigo Group,latigo-group.com,,,,,,,,linkedin.com/company/the-latigo-group,,Syndication,"Mixed Use, Multifamily",,,,,,
BV Capital,bvcapitaltx.com,,,,,,,Canada,,360000000,Fund or Syndication,"Mixed Use, Multifamily, Medical Office",,,,,,
MHP Funds,mhpfunds.com,,,,,,,,,,Fund,Mobile Home,,,,,,
Sonos Capital,sonoscapital.com,,,,,,,,,,Syndication,Mobile Home,,,,,,
52TEN,52ten.com,,,,,,,,linkedin.com/company/52ten,,Fund,Mobile Home Parks,,,,,,
Elevation Fund 8,elevationfund.com,,,,,,,,linkedin.com/company/elevationcapitalgroup,,fund ,"Mobile Home, Storage",,,,,,
Aspen Funds,aspenfunds.us,,,,,,,Canada,linkedin.com/company/aspen-funds,300000000,Fund,"Mortgage Notes, Multifamily, Storage, Venture Debt, Industrial",,,,,,
37th Parallel Properties,37parallel.com,Richmond,Virginia,23226,,1801,Bayberry Court,United States,linkedin.com/company/37parallel,1000000000,Fund or Syndication,Multifamily,,,,,,
3D Money,3dmoney.com,Litchfield,Minnesota,55355,,,,United States,linkedin.com/company/3dmoney/,,Syndication,Multifamily,,,,,,
5 Talents Capital,5tcre.com,San Antonio,Texas,78212,,1900,Blanco Road,United States,linkedin.com/company/5talents,150000000,Syndication,Multifamily,,,,,,
American Capital Group,acg.com,Bellevue,Washington,98005,,15,Lake Bellevue Drive,United States,linkedin.com/company/american-capital-group,1500000000,Syndication,Multifamily,,,,,,
Achieve Investment Group,achieveinvestmentgroup.com,Austin,Texas,,,,,United States,linkedin.com/company/jameskandasamy2023/,,Syndication,Multifamily,,,,,,
Alpha Residential,alpharesidential.com,Bridgeville,Pennsylvania,15017,,44,Abele Road,United States,linkedin.com/company/alpharesidential,,Syndication,Multifamily,,,,,,
"Anthology Investments, LLC",anthologyinv.com,,,,,,,Canada,,,Fund or Syndication,Multifamily,,,,,,
APPA Real Estate,apparealestate.com,,,,,,,,linkedin.com/company/appa-real-estate,,Syndication,Multifamily,,,,,,
Arel Capital,arelcapital.com,New York,New York,10022,,540,Madison Avenue,United States,https://www.linkedin.com/company/arel-capital/people/,,,Multifamily,,,,,,
Ashcroft Capital,ashcroftcapital.com,New York,New York,10017,,461,5th Avenue,United States,linkedin.com/company/ashcroft-capital-llc,852000000,Syndication,Multifamily,,,,,,
Ashland Greene Capital,ashlandgreenecapital.com,,,,,,,,https://www.linkedin.com/company/ashland-greene/,1100000000,Syndication,Multifamily,,,,,,
Avid Realty Partners,avidrealtypartners.com,,,,,,,,linkedin.com/company/avidrealtypartners,,Syndication,Multifamily,,,,,,
Ballast Rock,ballastrock.com,,,,,,,,,,,Multifamily,,,,,,
Bam Capital,bamcapgroup.com,,,,,,,,,,Fund or Syndication,Multifamily,,,,,,
Blue Lake Capital,bluelake-capital.com,,,,,,,Canada,,,Fund or Syndication,Multifamily,,,,,,
Bonner Carrington,bonnercarrington.com,Austin,Texas,78746,,901,South MoPac Expressway,United States,linkedin.com/company/bonnercarrington,,Syndication,Multifamily,,,,,,
Box Wilson Equity,boxwilson.com,,,,,,,,linkedin.com/company/box-wilson-equity,,Syndication,Multifamily,,,,,,
Brazos Residential,brazosresidential.com,Dallas,Texas,75230,,5728,Lyndon B Johnson Freeway,United States,linkedin.com/company/brazosresidential,423000000,Syndication,Multifamily,,,,,,
The Brennan Pohle Group,brennanpohle.com,San Diego,California,,,,,United States,,,Syndication,Multifamily,,,,,,
Brick Street Capital,brickstreetcapital.com,,,,,,,,,,Syndication,Multifamily,,,,,,
Bristol Development Group,bristoldevelopment.com,Franklin,Tennessee,37067,,381,Mallory Station Road,United States,linkedin.com/company/bristol-development-group,,Syndication,Multifamily,,,,,,
The BurnBrae Companies,burnbraeco.com,,,,,,,,linkedin.com/company/the-burnbrae-companies,150000000,Syndication,Multifamily,,,,,,
Camino Verde Group,caminoverdegroup.com,,,,,,,,,,Syndication,Multifamily,,,,,,
Capital Square,capitalsq.com,Glen Allen,Virginia,23060,,10900,Nuckols Road,United States,linkedin.com/company/capital-square-realty-advisors,6200000000,Syndication,Multifamily,,,,,,
Cardone Capital,cardonecapital.com,Aventura,Florida,33180,,18851,Northeast 29th Avenue,United States,linkedin.com/company/cardonecapital,,Fund,Multifamily,,,,,,
CF Capital LLC,cfcapllc.com,,,,,,,,,,Syndication,Multifamily,,,,,,
Chandler Residential Management Corp,chanres.com,,,,,,,,,,Syndication,Multifamily,,,,,,
Che Capital LLC,checapitalgroup.com,Chicago,Illinois,,,,,United States,linkedin.com/company/che-capital,,Syndication,Multifamily,,,,,,
Citadel Real Estate Group,citadelgrp.com,,,,,,,,linkedin.com/company/citadel-real-estate-group,325000000,Syndication,Multifamily,,,,,,
CityPads,citypadsre.com,,,,,,,,,600000000,Syndication,Multifamily,,,,,,
Clear Capital,clearcapllc.com,Los Angeles,California,90024,,10866,Wilshire Boulevard,United States,linkedin.com/company/clear-capital-llc,1000000000,Syndication,Multifamily,,,,,,
"Equity Capital Funding Group, LLC",ecfg.us,,,,,,,,,,Syndication,Multifamily,,,,,,
Community Management Group,cmgcharleston.com,,,,,,,,,60,Syndication,Multifamily,,,,,,
Colony Hills Capital,colonyhillscapital.com,,,,,,,,,500000000,Fund or Syndication,Multifamily,,,,,,
Cooper Street Capital,cooperstreetcapital.com,San Francisco,California,94123,,1865,Union Street,United States,linkedin.com/company/cooper-street-capital,400,Syndication,Multifamily,,,,,,
CSRE Group,csregroup.com,,,,,,,,linkedin.com/company/cs-acquisition-group,,Syndication,Multifamily,,,,,,
Dasmen Residential,dasmenresidential.com,Montebello,New York,10901,,400,Rella Boulevard,United States,linkedin.com/company/dasmen-residential,,Syndication,Multifamily,,,,,,
Del American,delamerican.com,,,,,,,,linkedin.com/company/delamerican,,Syndication,Multifamily,,,,,,
Diamond Point Homes,diamondpointhomes.com,Phoenix,Arizona,,,,,United States,,150000000,Syndication,Multifamily,,,,,,
Disrupt Equity,disruptequity.com,Houston,Texas,77077,,1001,South Dairy Ashford Road,United States,linkedin.com/company/disruptequity,800000000,Syndication,Multifamily,,,,,,
Divergent Capital Partners,divergentfund.com,,,,,,,Canada,,,Fund,Multifamily,,,,,,
DiversyFund,diversyfund.com,San Diego,California,92101,,750,B Street,United States,linkedin.com/company/diversyfund,,Fund,Multifamily,,,,,,
DMI Holdings,dixon-adams.com,,,,,,,,,,Syndication,Multifamily,,,,,,
Domain Communities,domaincommunities.com,,,,,,,,,,Syndication,Multifamily,,,,,,
Dual City Investments,dualcityinvestments.com,,,,,,,,,,Fund,Multifamily,,,,,,
Gray Duck Capital,grayduckcapital.com,,,,,,,Canada,,,Syndication,Multifamily,,,,,,
Element Property,elementresidential.com,Los Angeles,California,90049,,11999,San Vicente Boulevard,United States,linkedin.com/company/element-property-company,,Syndication,Multifamily,,,,,,
Elevate CIG,elevatecig.com,Dallas,Texas,,,,,United States,linkedin.com/company/elevate-cig,500000000,Syndication,Multifamily,,,,,,
Empire Property Concepts,empirepropertyconcepts.co.uk,,,,,,,,linkedin.com/company/empire-property-c,,,Multifamily,,,,,,
Equity Multifamily,equitymultifamily.com,,,,,,,,,,Fund,Multifamily,,,,,,
Essential Element Capital,essentialelementcapital.com,Pasadena,California,,,,,United States,,,Syndication,Multifamily,,,,,,
Farran Realty Partners,farranco.com,Missoula,Montana,59802,,101,East Main Street,United States,linkedin.com/company/farran-realty-partners,,Syndication,Multifamily,,,,,,
Freedom Venture Investments,freedomventure.com,Danvers,Massachusetts,01923,,5,Elm Street,United States,linkedin.com/company/freedom-venture-investments,346000000,Syndication,Multifamily,,,,,,
Freestyle Capital Group,freestylecapitalgroup.com,,,,,,,,,,Fund,Multifamily,,,,,,
Frontline Holdings,frontlineholdings.co,,,,,,,,,,Syndication,Multifamily,,,,,,
Fair Winds Capital Investments,fwcinvestments.com,,,,,,,,linkedin.com/company/fair-winds-capital-investments,,Fund or Syndication,Multifamily,,,,,,
Gaia Real Estate,gaiare.com,New York,New York,10019,,152,West 57th Street,United States,linkedin.com/company/gaia-real-estate-investments,,Syndication,Multifamily,,,,,,
"Gardner Capital, Inc.",gardnercapital.com,,,,,,,Canada,linkedin.com/company/gardner-capital-inc,,Fund,Multifamily,,,,,,
Gimme Shelter Equity,gimmeshelterequity.com,Springdale,Arkansas,,,,,United States,,215000000,Syndication,Multifamily,,,,,,
Greenleaf Management,gogreenleafmanagement.com,Norcross,Georgia,30071,,3081,Holcomb Bridge Road,United States,linkedin.com/company/greenleaf-management-llc,750,Syndication,Multifamily,,,,,,
Golden Bear Equities,goldenbearequities.com,Newport Beach,California,,,,,United States,linkedin.com/company/golden-bear-equities-llc,,Syndication,Multifamily,,,,,,
Good Bull Investments,goodbullinvestments.com,The Woodlands,Texas,,,,,United States,,,Syndication,Multifamily,,,,,,
Goodegg Investments,goodegginvestments.com,San Francisco,California,94133,,18,Bartol Street,United States,linkedin.com/company/goodegginvestments,125000000,Syndication,Multifamily,,,,,,
Granite Towers Equity Group,granitetowersequitygroup.com,Minneapolis,Minnesota,,,,,United States,,,Syndication,Multifamily,,,,,,
Gray Capital,graycapitalllc.com,Indianapolis,Indiana,46201,,1411,Roosevelt Avenue,United States,linkedin.com/company/graycapitalllc,775000000,Syndication,Multifamily,,,,,,
RelEquity Enterprises,relequity.com,,,,,,,,,,Syndication,Multifamily,,,,,,
Dividenz,dividenz.com,,,,,,,,linkedin.com/company/dividenz,,Fund or Syndication,Multifamily,,,,,,
Gruszynski Capital,gruszynskicapital.com,Trophy Club,Texas,76262,,,,United States,linkedin.com/company/gruszynski-capital,,Syndication,Multifamily,,,,,,
The GSH Group,gshrealestate.com,Clawson,Michigan,48017,,340,South Main Street,United States,linkedin.com/company/gshrealestate,1000000000,Syndication,Multifamily,,,,,,
Guardian Advisory,guardian-advisory.com,,,,,,,,linkedin.com/company/guardian-advisory-llc,,Fund,Multifamily,,,,,,
Guefen Development,guefen.com,Houston,Texas,77027,,3800,Southwest Freeway,United States,linkedin.com/company/guefen-development,1000000000,Syndication,Multifamily,,,,,,
GVA Property Management,gvamgt.com,,,,,,,,linkedin.com/company/gva-property-management,,Syndication,Multifamily,,,,,,
GWR Equities,gwrequities.com,Houston,Texas,77027,,1800,West Loop South,United States,linkedin.com/company/gwrequities,,Syndication,Multifamily,,,,,,
Hazel Equity,hazelequity.com,,,,,,,,linkedin.com/company/hazelequity,,Syndication,Multifamily,,,,,,
Honeybricks,honeybricks.com,San Francisco,California,94109,,,,United States,linkedin.com/company/honeybricks,,Syndication,Multifamily,,,,,,
Cornerstone  Commercial Investments,cornerstonecommercialinvestments.com,Coeur d Alene,Idaho,83814,Suite 201,1875,North Lakewood Drive,United States,https://www.linkedin.com/company/cornerstone-commercial-investments-inc/,,Syndication,Multifamily,,,,,,
Hudson Investing,hudsoninvesting.com,Carmel,Indiana,46032,,38,West Main Street,United States,https://www.linkedin.com/company/hudsoninvesting/,,,Multifamily,,,,,,
Huber Equity Group,huberequitygroup.com,Columbus,Ohio,43206,,523,South 4th Street,United States,linkedin.com/company/huber-equity-group,,Syndication,Multifamily,,,,,,
Investors Management Group,imgre.com,Los Angeles,California,,,,,United States,linkedin.com/company/investors-management-group,600000000,Syndication,Multifamily,,,,,,
Aeon Partners,investaeon.com,San Diego,California,,,,,United States,linkedin.com/company/aeon-one,,Syndication,Multifamily,,,,,,
Dynasty Investment Partners,investdynasty.com,Detroit,Michigan,,,,,United States,linkedin.com/company/dynasty-investment-partners,22,Syndication,Multifamily,,,,,,
Safehold,safeholdinc.com,,,,,,,,,,,Multifamily,,,,,,
JARS Realty Partners,jarsrealtypartners.com,,,,,,,,,30000000,Syndication,Multifamily,,,,,,
JFH Capital,jfhcapital.com,La Porte,Indiana,46350,,,,United States,,,Syndication,Multifamily,,,,,,
Keener Investments,keenerinvest.com,,,,,,,,linkedin.com/company/keener-investments-llc,,Syndication,Multifamily,,,,,,
Knightvest Capital,knightvest.com,,,,,,,Canada,linkedin.com/company/knightvest-residential,,Syndication,Multifamily,,,,,,
Lark Capital Group,larkcapital.com,,,,,,,,,,Syndication,Multifamily,,,,,,
LeavenWealth,leavenwealth.com,Omaha,Nebraska,68131,,117,South 25th Street,United States,linkedin.com/company/leavenwealth,228000000,Syndication,Multifamily,,,,,,
Leone Real Estate Partners,leonerepartners.com,New York,New York,,,,,United States,linkedin.com/company/leone-real-estate-partners,,Syndication,Multifamily,,,,,,
Living Residential,livingresi.com,Lakewood,New Jersey,08701,,36,Airport Road,United States,linkedin.com/company/livingresidential,,,Multifamily,,,,,,
LMDG,lmdg.net,HUNTINGTN BCH,California,92605,,,,United States,linkedin.com/company/lujan-merriman-development-group-llc,,Syndication,Multifamily,,,,,,
Luxe Capital,luxe-cap.com,,,,,,,,,,Fund or Syndication,Multifamily,,,,,,
Magma Equities,magmaequities.com,,,,,,,,,42000000,Syndication,Multifamily,,,,,,
MarketSpace Capital,marketspace.capital,Houston,Texas,77074,,9100,Southwest Freeway,United States,linkedin.com/company/marketspace-capital,354,Syndication,Multifamily,,,,,,
Mesos Capital,mesoscapital.com,,,,,,,,,250000000,Syndication,Multifamily,,,,,,
Metis Legacy,metislegacy.com,Irvine,California,,,,,United States,,,Syndication,Multifamily,,,,,,
Multifamily Investment Club,mficlub.com,Salt Lake City,Utah,84121,,6550,Millrock Drive,United States,,,Syndication,Multifamily,,,,,,
Middleburg Communities,middleburgcommunities.com,Vienna,Virginia,22182,,1921,Gallows Road,United States,linkedin.com/company/middleburg-communities,,Syndication,Multifamily,,,,,,
Mission Peak Capital,missionpeakcapital.com,Kansas City,Missouri,64108,,1908,Main Street,United States,linkedin.com/company/mission-peak-capital,,Syndication,Multifamily,,,,,,
MLG Capital,mlgcapital.com,Brookfield,Wisconsin,53005,,13400,Bishops Lane,United States,linkedin.com/company/mlg-capital,,Fund,Multifamily,,,,,,
Montlake Residential,montlakere.com,El Segundo,California,90245,,,,United States,,215,Syndication,Multifamily,,,,,,
Mortar Group,mortargroup.com,,New York,11211,,346,Metropolitan Avenue,United States,linkedin.com/company/mortar-arch-dev,,Syndication,Multifamily,,,,,,
The Texas Real Estate Investment Center,mrtxre.com,Houston,Texas,,,,,United States,,,Syndication,Multifamily,,,,,,
Multi-Family Monopoly,multifamilymonopoly.com,McKinney,Texas,,,,,United States,https://www.linkedin.com/company/multifamily-monopoly/,,Syndication,Multifamily,,,,,,
MVP Equities,mvpequities.com,,,,,,,,,,Syndication,Multifamily,,,,,,
nada.,nada.co,Dallas,Texas,75204,,2512,Boll Street,United States,linkedin.com/company/hellonada,,Fund,Multifamily,,,,,,
New City Homes,newcityohio.com,Columbus,Ohio,43222,,975,West Broad Street,United States,linkedin.com/company/newcityhomes,,Syndication,Multifamily,,,,,,
New Sight Capital,newsightcapital.com,Virginia Beach,Virginia,23456,,2733,Robert Monette Lane,United States,linkedin.com/company/new-sight-capital-llc,,Syndication,Multifamily,,,,,,
Nitya Capital,nityacapital.com,Houston,Texas,,,,,United States,,3000000000,Syndication,Multifamily,,,,,,
Northwest Commercial Real Estate Investments,nwcrei.com,Seattle,Washington,,,,,United States,linkedin.com/company/nwcrei,,,Multifamily,,,,,,
Northwest Sustainable Properties,nws-properties.com,Bellevue,Idaho,,,,,United States,https://www.linkedin.com/company/northwest-sustianable-properties-llc/,,Syndication,Multifamily,,,,,,
One Real Estate Investment,onerealestateinvestment.com,,,,,,,,,"
1500000000",Syndication,Multifamily,,,,,,
Origin Investments,origininvestments.com,Chicago,Illinois,,,,,United States,,2000000000,Fund,Multifamily,,,,,,
Pacific Sands,pacificsandsfunds.com,Irvine,California,92606,,60,Corporate Park,United States,linkedin.com/company/pacific-sands-funds,,Fund,Multifamily,,,,,,
LeavenWealth Capital LLC,parkaveinvesting.com,,,,,,,Canada,,228000000,Syndication,Multifamily,,,,,,
Pathfinder Partners,pathfinderfunds.com,San Diego,California,92037,,4225,Executive Square,United States,linkedin.com/company/pathfinderpartners,,Syndication,Multifamily,,,,,,
PEM Real Estate Group,pemreg.com,Scottsdale,Arizona,85260,,13835,North Northsight Boulevard,United States,linkedin.com/company/pem-real-estate-group,,Syndication,Multifamily,,,,,,
Penn Capital,penncapitalgroup.com,Wayne,Pennsylvania,19087,,575,Swedesford Road,United States,linkedin.com/company/penn-capital,180000000,Syndication,Multifamily,,,,,,
Peoples Capital Group,peoplescapitalgroup.com,Cavendish,Vermont,,,,,United States,,,Fund,Multifamily,,,,,,
Presario Ventures,presarioventures.com,,,,,,,Canada,,,Syndication,Multifamily,,,,,,
Prime Capital Investments,primemgnt.com,,,,,,,,,,Syndication,Multifamily,,,,,,
PRISM,prismmf.com,Toronto,Ontario,M6B 3A7,,2828,Bathurst Street,Canada,linkedin.com/company/prism-multifamily-group-inc,,Syndication,Multifamily,,,,,,
RealtyNet Group,realtynetgroup.com,,,,,,,,,,Fund,Multifamily,,,,,,
Redbrick,redbricklmd.com,Washington,District of Columbia,20006,,1616,H Street Northwest,United States,linkedin.com/company/redbrick-lmd,2500000,Syndication,Multifamily,,,,,,
RedHill Realty,redhill.com,,,,,,,,,,Syndication,Multifamily,,,,,,
Strictly Commercial,strictlycommercialusa.com,Hooksett,New Hampshire,,,,,United States,linkedin.com/company/strictly-commercial-llc,,Syndication,Multifamily,,,,,,
RingRoad Partners,ringroadpartners.com,New York,New York,10019,,3,Columbus Circle,United States,linkedin.com/company/ringroad-partners-llc,,Syndication,Multifamily,,,,,,
Rook Capital,rook.capital,,,,,,,,,,Syndication,Multifamily,,,,,,
Round Box Equity,roundboxequity.com,,,,,,,,,,Syndication,Multifamily,,,,,,
S2 Capital,s2cp.com,,,,,,,,,,Fund,Multifamily,,,,,,
Six Peak Capital,sixpeakcapital.com,New York,New York,10003,,215,Park Avenue South,United States,linkedin.com/company/sixpeakcapital,,Syndication,Multifamily,,,,,,
Skyrise Equity,skyriseequitygroup.com,,,,,,,,,,Syndication,Multifamily,,,,,,
Smartland,smartland.com,Miami,Florida,33131,,1221,Brickell Avenue,United States,linkedin.com/company/smartland-ohio,,Syndication,Multifamily,,,,,,
SPI Advisory,spiadvisory.com,Dallas,Texas,,,,,United States,,,Syndication,Multifamily,,,,,,
Spur Equity,spurequity.com,,,,,,,,,,Syndication,Multifamily,,,,,,
Sterling Real Estate Partners,sterling-partners.com,Scottsdale,Arizona,85251,,7114,East Stetson Drive,United States,linkedin.com/company/sterling-realestate-partners,,Syndication,Multifamily,,,,,,
Streamline Capital Group,streamlinecapitalgroup.com,,,,,,,,linkedin.com/company/streamline-capital-group,,Syndication,Multifamily,,,,,,
Sunrise Multifamily,sunrisemultifamily.com,,,,,,,Canada,linkedin.com/company/sunrise-multifamily,15,Syndication,Multifamily,,,,,,
Texsun Holdings,texsunholdings.com,Dallas,Texas,75206,,,,United States,linkedin.com/company/texsun-holdings,,Syndication,Multifamily,,,,,,
TFMS Holdings,tfms.holdings,,,,,,,,linkedin.com/company/tfms-holdings,300,Fund,Multifamily,,,,,,
The Annex Group,theannexgrp.com,,,,,,,,,,Syndication,Multifamily,,,,,,
The BoaVida Group,theboavidagroup.com,,,,,,,,,1500,Fund,Multifamily,,,,,,
The Leaf Group,theleafgroup.com,,,,,,,,,,Syndication,Multifamily,,,,,,
LuxView Properties,theluxview.com,,,,,,,,,,Syndication,Multifamily,,,,,,
Think Outside the Stocks,thinkoutsidethestocks.com,,,,,,,,,170000000,Syndication,Multifamily,,,,,,
The Preiss Company,tpco.com,Raleigh,North Carolina,27605,,1700,Hillsborough Street,United States,linkedin.com/company/the-preiss-company,,Syndication,Multifamily,,,,,,
Triad Real Estate Partners,triadrepartners.com,,,,,,,,,,Syndication,Multifamily,,,,,,
TriArc Real Estate Partners,triarcrep.com,Houston,Texas,,,,,United States,linkedin.com/company/triarcrep,150000000,Syndication,Multifamily,,,,,,
Trident Multifamily,tridentmultifamily.com,,,,,,,Canada,,125000000,Syndication,Multifamily,,,,,,
TTI Capital,tticapital.com,Centreville,Virginia,,,,,United States,,,Syndication,Multifamily,,,,,,
Tusk Equity Partners,tuskep.com,,,,,,,,,,Syndication,Multifamily,,,,,,
Tuson Properties,tusonproperties.com,,,,,,,,linkedin.com/company/tuson-properties-llc,,Syndication,Multifamily,,,,,,
The UIP Companies,urbaninvestmentpartners.com,Washington,District of Columbia,,,,,United States,linkedin.com/company/uipcompanies,1200,Syndication,Multifamily,,,,,,
Upside Capital,upsidecapitalgroup.com,,,,,,,,linkedin.com/company/upside-capital-llc,50000000,Syndication,Multifamily,,,,,,
Urbanist,urbanistusa.com,Houston,Texas,77002,,2007,Commerce Street,United States,linkedin.com/company/urbanist-usa,,Syndication,Multifamily,,,,,,
URBN PHX,urbnphx.com,,,,,,,,,500000000,Syndication,Multifamily,,,,,,
Valiance Capital,valiancecap.com,,,,,,,,,,Syndication,Multifamily,,,,,,
Valkere Investment Group,valkeregroup.com,Phoenix,Arizona,85032,,3317,East Bell Road,United States,linkedin.com/company/valkere-investment-group,,Syndication,Multifamily,,,,,,
Valorem Ventures,valorem-ventures.com,,,,,,,,,,Syndication,Multifamily,,,,,,
Vertical Street Ventures,verticalstreetventures.com,Phoenix,Arizona,,,,,United States,linkedin.com/company/vertical-street-ventures,,Fund,Multifamily,,,,,,
Viking Capital,vikingcapllc.com,,,,,,,,,718,Syndication,Multifamily,,,,,,
Vive Funds,vivefunds.com,,,,,,,,linkedin.com/company/vive-funds,,Fund,Multifamily,,,,,,
VonFinch Capital,vonfinch.com,Denver,Colorado,,,,,United States,linkedin.com/company/vonfinch-capital,,Fund,Multifamily,,,,,,
Waahe Capital,waahecapital.com,San Francisco,California,,,,,United States,linkedin.com/company/waahe-capital,,Fund,Multifamily,,,,,,
Westplan Investors,westplan.com,Atlanta,Georgia,,,,,United States,,,Syndication,Multifamily,,,,,,
WhiteHaven,whitehaven.com,Phoenix,Arizona,85018,,4455,East Camelback Road,United States,linkedin.com/company/whitehaven,,Syndication,Multifamily,,,,,,
Wilkinson Corporation,wilkinsoncorporation.com,Yakima,Washington,,,,,United States,,,Syndication,Multifamily,,,,,,
Wiseman Capital,wisemancapitalgroup.com,,,,,,,,,,Syndication,Multifamily,,,,,,
Worcester Investments,worcesterinvestments.com,,,,,,,Canada,,500,Fund,Multifamily,,,,,,
Boardwalk Wealth,boardwalkwealth.com,,,,,,,Canada,linkedin.com/company/boardwalkwealth,,Fund or Syndication,Multifamily,,,,,,
"Kendu-Bay Properties, LLC",kendubayproperties.com,,,,,,,Canada,linkedin.com/company/kendubayproperties,320000000,Syndication,Multifamily,,,,,,
Exponential Property Group,exponentialpropertygroup.com,,,,,,,United States,linkedin.com/company/exponential-property-group-us,634000000,Syndication,Multifamily,,,,,,
Yankee Capital,yankee-capital.com,Lynnfield,Massachusetts,,,,,United States,,,Syndication,Multifamily,,,,,,
Value Add Partners,yourvap.net,Grandview,Texas,76050,,900,East Criner Street,United States,,,Syndication,Multifamily,,,,,,
Zevulon Capital,zevcap.com,Sandy Springs,Georgia,30328,,750,Hammond Drive,United States,linkedin.com/company/zevulon-capital,,Syndication,Multifamily,,,,,,
Break of Day LLC,breakofdaycapital.com,Manhattan Beach,California,90266,355,2711,North Sepulveda Boulevard,United States,linkedin.com/company/break-of-day-capital,250000000,Syndication,Multifamily,,,,,,
Alder Development Group,alderdevelopment.com,,,,,,,,,,Syndication,Multifamily,,,,,,
Allied Development,allieddev.com,,,,,,,,linkedin.com/company/allieddevelopment,,Syndication,Multifamily,,,,,,
Citadel Group,citadel.com,,,,,,,,linkedin.com/company/citadel-llc,400,Syndication,Multifamily,,,,,,
Dhunna Capital,dhunnacapital.com,,,,,,,,linkedin.com/company/dhunna-capital,,Syndication,Multifamily,,,,,,
Niche Holdings,nicheholds.com,,,,,,,,,,Syndication,Multifamily,,,,,,
OW Communities - Michael Marano,onewallcommunities.com,,,,,,,,linkedin.com/company/onewallcommunities,,Syndication,Multifamily,,,,,,
Quantum Capital,quantumcapitalinc.com,,,,,,,,,,Syndication,Multifamily,,,,,,
Bear Peak Capital,bearpeakcapital.com,Chicago,Illinois,60647,,1658,North Milwaukee Avenue,United States,linkedin.com/company/bearpeakcapital,,Syndication,"Multifamily, Apartments",,,,,,
The Dinerstein Companies,dinersteincos.com,Houston,Texas,,,,,United States,https://www.linkedin.com/company/the-dinerstein-companies/,3500000000,Syndication,"Multifamily, Apartments",,,,,,
Hampshire.Capital,hampshire.capital,,,,,,,,,,Syndication,"Multifamily, Apartments",,,,,,
Blackfish Capital,blackfishcapital.us,Seattle,Washington,,,,,United States,,,Syndication,"Multifamily, Commercial",,,,,,
Carter Exchange,carterfunds.com,Tampa,Florida,33609,,4890,West Kennedy Boulevard,United States,linkedin.com/company/carter-funds,3000000000,Fund,"Multifamily, Commercial",,,,,,
Castle Lanterra,castlelanterra.com,Suffern,New York,10901,,1,Executive Boulevard,United States,linkedin.com/company/castle-lanterra-properties-llc,,Syndication,"Multifamily, Commercial",,,,,,
"Cabot, Cabot, & Forbes",ccfne.com,,,,,,,,,,,"Multifamily, Commercial",,,,,,
Cypress Equity Investments,cypressequity.com,Los Angeles,California,90025,,12121,Wilshire Boulevard,United States,linkedin.com/company/cypress-equity-investments,,Syndication,"Multifamily, Commercial",,,,,,
Grace Construction Company,graceconstructioncompany.com,,,,,,,,,,Syndication,"Multifamily, Commercial",,,,,,
Haverkamp Properties,haverkamp-properties.com,Ankeny,Iowa,50023,,1351,Southwest Prairie Trail Parkway,United States,linkedin.com/company/haverkamp-properties,,,"Multifamily, Commercial",,,,,,
National Asset Services,nasassets.com,,,,,,,Canada,linkedin.com/company/national-assets-services,,Syndication,"Multifamily, Commercial",,,,,,
Neighborhood Development,neighborhooddevelopment.com,Washington,District of Columbia,20010,,3232,Georgia Avenue Northwest,United States,linkedin.com/company/neighborhood-development-company,,Syndication,"Multifamily, Commercial",,,,,,
Peakview Investments,peakviewinvestments.com,,,,,,,,linkedin.com/company/peakview-investments,,Syndication,"Multifamily, Commercial",,,,,,
Pearlmark,pearlmark.com,Chicago,Illinois,,,,,United States,,,Syndication,"Multifamily, Commercial",,,,,,
The Prime Group,primegroupinc.com,,,,,,,,,,Syndication,"Multifamily, Commercial",,,,,,
"Real Estate Acquisitions USA, Corp.",realestateacq.com,,,,,,,Canada,,,Syndication,"Multifamily, Commercial",,,,,,
REEN USA,reenusa.com,Hooksett,New Hampshire,03106,,23,Barberry Street,United States,,,Syndication,"Multifamily, Commercial",,,,,,
