legalName,website,city,state,zipCode,apartmentOrSuite,streetNumber,streetOrRoad,country,linkedInPage,aum,fundOrSyndication,assetClass,irr,coc,equityMultiple,fees,holdPeriod,exemption
FivePoint Capital Management,fivepointcm.com,Miami,Florida,33130,,80,Southwest 8th Street,United States,https://www.linkedin.com/company/fivepoint-capital-management/,,Syndication,Commercial,,,,,,
Flywheel Capital,flywheelcap.com,Denver,Colorado,80209,,724,South Pearl Street,United States,linkedin.com/company/flywheel-capital-llc,,Syndication,Commercial,,,,,,
Ford Investment Properties,fordinvestmentproperties.com,Stuart,Florida,,,,,United States,,,Syndication,Commercial,,,,,,
Four Points,fourpointsllc.com,,,,,,,,linkedin.com/company/fourpointsllc,500000000,Syndication,Commercial,,,,,,
FTW Investments,ftwinvestmentsllc.com,Kansas City,Missouri,64112,,,,United States,linkedin.com/company/ftw-investments,,Syndication,Commercial,,,,,,
GM Property Group,gmproperty.com,Asheville,North Carolina,28801,,28,North Ann Street,United States,linkedin.com/company/g-m-property-group,,,Commercial,,,,,,
Haymakers,haymakers.com,Hyde Park,New York,12538,,,,United States,,,,Commercial,,,,,,
Maker Bros,makerbros.net,,,,,,,,,,,Commercial,,,,,,
Hempel Real Estate,hempelcompanies.com,Minneapolis,Minnesota,55402,,527,South Marquette Avenue,United States,linkedin.com/company/hempel,,,Commercial,,,,,,
High Rise Group,highrise.group,,,,,,,,,,Fund or Syndication,Commercial,,,,,,
Hunt Properties Inc,huntprop.com,,,,,,,,linkedin.com/company/hunt-properties-inc.,2500000000,Syndication,Commercial,,,,,,
Invest Beyond Multifamily,investbeyondmultifamily.com,,,,,,,,,,Syndication,Commercial,,,,,,
JMA Ventures,jmaventuresllc.com,,,,,,,,linkedin.com/company/jma-ventures,2500000000,Syndication,Commercial,,,,,,
Kingsbarn Realty Capital,kingsbarn.com,Las Vegas,Nevada,,,,,United States,linkedin.com/company/kingsbarn,,Fund,Commercial,,,,,,
Keystone National Properties,knpre.com,Jericho,New York,,,,,United States,linkedin.com/company/keystone-national-properties,,Syndication,Commercial,,,,,,
Madison International,madisonint.com,New York,New York,10022,,300,Park Avenue,United States,linkedin.com/company/madison-international-realty,,Fund or Syndication,Commercial,,,,,,
PPR Capital Management,pprcapitalmgmt.com,Berwyn,Pennsylvania,19312,,920,Cassatt Road,United States,linkedin.com/company/pprcapitalmgmt,689000000,Syndication,Commercial,,,,,,
Redfearn Capital,redfearncapital.com,,,,,,,Canada,,550000000,Syndication,Commercial,,,,,,
The Cauble Group,thecaublegroup.com,Nashville,Tennessee,,,,,United States,,,Syndication,Commercial ,,,,,,
The Criterion Fund,thecriterionfund.com,,,,,,,,,,Fund,Commercial ,,,,,,
Nightingale Properties,thenggroup.com,,,,,,,,,,Syndication,Commercial ,,,,,,
US Realty Partners,usrpartners.com,Westlake Village,California,91362,,5743,Corsa Avenue,United States,linkedin.com/company/u-s-realty-partners-inc-,,Syndication,Commercial ,,,,,,
Virtua International Holdings,virtuapartners.com,Scottsdale,Arizona,,,,,United States,linkedin.com/company/virtuapartners,,Syndication,Commercial ,,,,,,
VMD Companies,vmdcompanies.com,,,,,,,Canada,,,Syndication,Commercial ,,,,,,
Time Equities,timeequities.com,New York,New York,10003,,55,5th Avenue,United States,linkedin.com/company/time-equities-inc.,6000000000,Syndication,Commercial & Industrial,,,,,,
Toro Real Estate Partners,tororep.com,,,,,,,,,,Syndication,Commercial & Residential,,,,,,
VRB Capital,vrbcap.com,,,,,,,,,,Syndication,Commercial & Residential,,,,,,
Careventures Capital,careventurescapital.com,,,,,,,,,,Syndication,"Commercial, Apartments",,,,,,
Cherry Street Investments,cherrystreetinvestments.com,,,,,,,Canada,,,Fund,"Commercial, Apartments",,,,,,
SNL Capital Partners,snlcapital.com,,,,,,,,,,Syndication,"Commercial, Entertainment",,,,,,
Suncroft Capital,suncroftcapital.com,,,,,,,,linkedin.com/company/suncroft-capital-llc,,Syndication,"Commercial, Hospitality",,,,,,
First Floor Equity,firstfloorequity.com,Minneapolis,Minnesota,,,,,United States,linkedin.com/company/first-floor-equity,,Syndication,"Commercial, Hybrid Housing",,,,,,
Grander Capital Partners,grandercapital.com,,,,,,,,linkedin.com/company/grander-capital-partners-llc,,Syndication,"Commercial, Industrial",,,,,,
Griffin Partners,griffinpartners.com,,,,,,,,linkedin.com/company/griffinpartners,,Syndication,"Commercial, Industrial",,,,,,
Skyline Pacific Properties,skylinepacific.com,,,,,,,,,,Syndication,"Commercial, Industrial",,,,,,
SmartCap,smartcapgroup.com,Redmond,Washington,,,,,United States,,635000000,Fund,"Commercial, Industrial",,,,,,
Kessinger Hunter,kessingerhunter.com,Kansas City,Missouri,64108,,2600,Grand Boulevard,United States,linkedin.com/company/kessinger-hunter,,,"Commercial, Industrial, Office, Retail",,,,,,
PRES Companies,prescompanies.com,Irvine,California,92612,,19782,Macarthur Boulevard,United States,linkedin.com/company/pres-companies,300000000,Syndication,"Commercial, Industrial, Office, Retail",,,,,,
Innovo Property Group,innovopg.com,,,,,,,,linkedin.com/company/innovo-property-group,3000000000,Syndication,"Commercial, Industrial, Residential, Mixed Use",,,,,,
PACE Loan Group,paceloangroup.com,Eden Prairie,Minnesota,55344,,10050,Crosstown Circle,United States,linkedin.com/company/pace-loan-group,,Syndication,"Commercial, Lending",,,,,,
Northshore Development,nsdpartners.com,Orlando,Florida,32835,,6996,Piazza Grande Avenue,United States,linkedin.com/company/nsd-partners,,Syndication,"Commercial, Management",,,,,,
Parkway Property Investments,pky.com,,,,,,,,linkedin.com/company/parkway-properties,14000000000,Syndication,"Commercial, Management, Retail, Office",,,,,,
JOSS Realty Partners,jrpllc.com,,,,,,,,linkedin.com/company/joss-realty-partners-llc,,Fund,"Commercial, Mixed Use",,,,,,
Bradley Company,bradleyco.com,Indianapolis,Indiana,,,,,United States,,,Syndication,"Commercial, Multifamily",,,,,,
Core Realty Holdings,corerealtyholdings.com,,,,,,,,,,Syndication,"Commercial, Multifamily",,,,,,
